Constraint,HLI,HLII,LLI,LLII/III,LLIV
Plb,0.017287871,0.017287871,0.031072566,0.031072566,0.031072566
Pub,0.086025507,0.086025507,0.118509735,0.118509735,0.118509735
Rub,0.060605071,0.060605071,0.479152984,0.479152984,0.479152984
Rlb,0.622339749,0.622339749,2.498949,2.498949,2.498949
clb_DNA,0.018932754,0.018932754,0.018932754,0.018932754,0.018932754
clb_Lipid,0.093121611,0.093121611,0.093121611,0.093121611,0.093121611
clb_Carbohydrate,0.135591941,0.135591941,0.135591941,0.135591941,0.135591941
clb_Protein,0.303892469,0.303892469,0.303892469,0.303892469,0.303892469
clb_VitaCofactors,0.013828278,0.013828278,0.020367627,0.020367627,0.020367627
clb_RNA,0.008089199,0.008089199,0.008089199,0.008089199,0.008089199
clb_NB,0.000476837,0.000476837,0.000702332,0.000702332,0.000702332
clb_Ions,0.011444092,0.011444092,0.016855967,0.016855967,0.016855967
clb_BioPool,0.004291534,0.004291534,0.006320988,0.006320988,0.006320988
clb_Pigments,0.000610352,0.000610352,0.000790123,0.000790123,0.000790123
clb_CellWall,0.030517578,0.030517578,0.039506173,0.039506173,0.039506173
clb_Divinylchlorophyll_a,0.012,0.012,0.0122,0.0122,0.0122
clb_Divinylchlorophyll_b,0.0019,0.0019,0.0125,0.0125,0.0125
clb_alpha_Carotene,0.0026,0.0026,0.0024,0.0024,0.0024
clb_Zeaxanthin,0.0041,0.0041,0.0064,0.0064,0.0064
cub_DNA,0.037267161,0.037267161,0.037267161,0.037267161,0.037267161
cub_Lipid,0.199264179,0.199264179,0.199264179,0.199264179,0.199264179
cub_Carbohydrate,0.431820066,0.431820066,0.431820066,0.431820066,0.431820066
cub_Protein,0.560162951,0.560162951,0.560162951,0.560162951,0.560162951
cub_VitaCofactors,0.056640625,0.056640625,0.087397805,0.087397805,0.087397805
cub_RNA,0.045004327,0.045004327,0.045004327,0.045004327,0.045004327
cub_NB,0.001953125,0.001953125,0.003013717,0.003013717,0.003013717
cub_Ions,0.046875,0.046875,0.072329218,0.072329218,0.072329218
cub_BioPool,0.017578125,0.017578125,0.027123457,0.027123457,0.027123457
cub_Pigments,0.0015625,0.0015625,0.00208642,0.00208642,0.00208642
cub_CellWall,0.078125,0.078125,0.104320988,0.104320988,0.104320988
cub_Divinylchlorophyll_a,0.0655,0.0655,0.0489,0.0489,0.0489
cub_Divinylchlorophyll_b,0.0294,0.0294,0.0614,0.0614,0.0614
cub_alpha_Carotene,0.0079,0.0079,0.0099,0.0099,0.0099
cub_Zeaxanthin,0.0146,0.0146,0.0102,0.0102,0.0102