Strain,OGT
CCMP1375_SS120,22.33
MIT_0601,22.4
MIT_0603,21.78
MED4,26.97
MIT9313,23.36
MIT_0604,29.2
MIT_0801,22.78
NATL2A,22.03
MIT_9312,28.88
RS50,29.12
RS01,29.11
AS9601,28.43
MIT_9515,29.03
RS04,29.06
MIT_0602,21.81
MIT_9301,28.37
MIT_9107,28.67
MIT_9201,28.94
NATL1A,22.59
SS52,22.23
MIT_9215,29.27
MIT9211,21.78
MIT_1306,22.33
MIT_9202,29.34
MIT_9116,28.64
EQPAC1,27.12
GP2,29.08
MIT_9123,28.59
MIT_9302,28.81
MIT_9311,28.89
MIT_9314,29.06
MIT_9321,28.59
MIT_9322,28.48
MIT_9401,28.52
SB,27.86
LG,22.19
PAC1,22.85
SS2,22.29
SS35,22.16
SS51,22.19
MIT_1323,22.75
MIT_1320,22.19
MIT_1342,22.91
MIT_9303,22.26
MIT_1318,22.05
MIT_1313,22.03